Player,Team,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
,low,0.8,10,0,0.1,0.2,0,0.1,2.9
Antonio Callaway,MIA,1.7,22.5,0,0.1,0.2,0,0,3.9
,high,1.7,22.5,0,0.1,0.2,0,0,0
,low,1.7,22.5,0,0.1,0.2,0,0,0
Darrius Shepherd,GB,1.5,19.3,0.1,0,0.2,0,0,3.9
,high,3.5,43,0.2,0.1,0.7,0,0,6.9
,low,0.7,8.8,0,0,0,0,0,2.8
Juwan Johnson,NO,1.7,20.4,0,0.1,0.5,0,0,3.9
,high,1.7,20.4,0,0.1,0.5,0,0,0
,low,1.7,20.4,0,0.1,0.5,0,0,0
Austin Carr,NO,2,19,0,0,0,0,0,3.9
,high,2,19,0,0,0,0,0,0
,low,2,19,0,0,0,0,0,0
Malcolm Perry,MIA,1.1,11.6,0,0.8,9.6,0.1,0,3.8
,high,1.4,17.2,0.1,0.8,15.2,0.1,0,3.9
,low,0.8,6,0,0.8,4,0,0,3.7
Chad Beebe,MIN,1.5,17.4,0.1,0,0.2,0,0,3.7
,high,2.3,27.1,0.1,0.1,0.7,0,0,4.2
,low,1,12,0,0,0,0,0,3.4
Tyron Johnson,LAC,1.2,18,0.1,0.2,1.3,0,0,3.7
,high,1.7,32.7,0.2,0.5,2.5,0,0,5.9
,low,0.5,6.4,0,0,0,0,0,2.5
Tyler Johnson,TB,1.3,17.9,0.1,0,0.2,0,0,3.5
,high,1.9,26.4,0.1,0.1,0.4,0,0,4.1
,low,0.7,11.2,0,0,0,0,0,2.8
Cam Sims,WAS,1.3,16.9,0.1,0,0.1,0,0,3.4
,high,2.4,33.4,0.1,0.1,0.5,0,0,4.7
,low,0.1,1,0,0,0,0,0,1.5
Gunner Olszewski,NE,1.3,16,0.1,0.1,0.5,0,0,3.3
,high,2,24.8,0.1,0.2,1,0,0,4.4
,low,0.3,5,0,0,0,0,0,2.1
Malik Taylor,GB,1.3,16,0.1,0,0.1,0,0,3.2
,high,2.8,34,0.1,0.1,0.3,0,0,5.5
,low,0.6,6.6,0,0,0,0,0,2.2
Christian Blake,ATL,1.4,15.8,0,0,0.2,0,0,3.2
,high,2.9,34.6,0.1,0.1,0.9,0,0,3.7
,low,0.7,7,0,0,0,0,0,2.2
Olabisi Johnson,MIN,1.2,16.6,0,0,0.1,0,0,3.2
,high,1.7,25.1,0.1,0,0.2,0,0,4.4
,low,0.5,7.5,0,0,0,0,0,2.2
Freddie Swain,SEA,1.2,14.7,0.1,0,0.1,0,0,3.2
,high,1.8,24.5,0.1,0.1,0.4,0,0,3.5
,low,0.7,7.5,0,0,0,0,0,2.3
Vyncint Smith,NYJ,1.3,16.1,0,0.1,0.8,0,0,3.1
,high,1.3,18.4,0.1,0.1,1.6,0,0,2.9
,low,1.3,13.8,0,0,0,0,0,2.9
Daurice Fountain,IND,1.2,13,0.1,0,0,0,0,3.1
,high,1.2,13,0.1,0,0,0,0,3.1
,low,1.2,13,0.1,0,0,0,0,3.1
Zay Jones,LV,1.4,14.6,0,0,0,0,0,3.1
,high,2.1,22,0.1,0,0,0,0,3.9
,low,0.2,3.8,0,0,0,0,0,1.8
Isaiah Zuber,NE,1.2,14.6,0.1,0.3,0.8,0,0,3
,high,2,24.1,0.1,0.4,1,0,0,2.1
,low,0.3,5,0,0.1,0.6,0,0,2.1
Reggie Begelton,GB,1.1,13,0.1,0,0,0,0,3
,high,1.1,13,0.1,0,0,0,0,2.7
,low,1.1,13,0.1,0,0,0,0,2.7
Byron Pringle,KC,1.2,14.6,0.1,0,0.2,0,0,3
,high,2.5,29.9,0.1,0.1,0.8,0,0,3.7
,low,0.1,1,0,0,0,0,0,1.3
Antonio Gandy-Golden,WAS,1.1,13.8,0,0.2,0.9,0,0,2.9
,high,1.6,19.9,0.1,0.3,1.4,0,0,4.1
,low,0.6,7,0,0.1,0.4,0,0,2.2
C.J. Board,NYG,1.3,14.4,0,0.2,0.6,0,0,2.9
,high,1.9,21,0.1,0.3,1,0,0,3.8
,low,0.9,10.4,0,0.1,0.3,0,0,2.7
Tony Brown,WAS,1.1,13.5,0.1,0,0,0,0,2.9
,high,1.1,13.5,0.1,0,0,0,0,2.9
,low,1.1,13.5,0.1,0,0,0,0,2.9
