Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
,high,0.3,1.5,0,0.4,3,0,0,0.8
,low,0.3,0,0,0.2,1.1,0,0,0.5
Derek Watt,PIT,0.2,0.3,0,0.2,1.5,0,0,0.6
,high,0.4,0.7,0.1,0.2,3,0,0,1
,low,0,0,0,0.2,0.4,0,0,0.3
Buddy Howell,HOU,0,1.2,0,0.1,0.9,0,0,0.4
,high,0,2.3,0,0.3,1.9,0,0,0.7
,low,0,0,0,0,0,0,0,0.2
C.J. Prosise,HOU,0.3,1,0,0.1,1,0,0,0.3
,high,0.3,1,0,0.1,1,0,0,0.4
,low,0.3,1,0,0.1,1,0,0,0.4
John Lovett,GB,0.2,0.5,0,0.2,0.5,0,0,0.3
,high,0.2,0.9,0,0.2,0.6,0,0,0.3
,low,0.2,0.1,0,0.1,0.5,0,0,0.3
Nick Bellore,SEA,0,0,0,0.1,0.5,0,0,0.2
,high,0,0,0,0.2,1.1,0,0,0.3
,low,0,0,0,0,0,0,0,0.2
Jason Cabinda,DET,0,0,0,0,0,0,0,0
,high,0,0,0,0,0,0,0,0.1
,low,0,0,0,0,0,0,0,0.1
Dwayne Washington,NO,0,0,0,0,0,0,0,0
,high,0,0,0,0,0,0,0,0
,low,0,0,0,0,0,0,0,0
LeVante Bellamy,DEN,0,0,0,0,0,0,0,0
,high,0,0,0,0,0,0,0,0.1
,low,0,0,0,0,0,0,0,0.1
